categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:5939,"MULTIPOLYGON (((1.722107 52.422355,1.721851 52.421856,1.719778 52.422073,1.718425 52.422166,1.718852 52.423246,1.722371 52.422871,1.722107 52.422355)))",,Kessingland Community Centre,,local-authority-eng:ESK,,,,/open-space/open-space/5939
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:316,"MULTIPOLYGON (((1.568267 52.447923,1.568273 52.448055,1.569148 52.448040,1.568594 52.446337,1.568509 52.446272,1.568197 52.445757,1.568155 52.445767,1.567979 52.445467,1.567341 52.445680,1.567417 52.445759,1.567639 52.446402,1.568205 52.447697,1.568267 52.447923)))",,Darby Road,,local-authority-eng:ESK,,,,/open-space/open-space/316
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:319,"MULTIPOLYGON (((1.678106 52.328994,1.677909 52.328484,1.676971 52.328836,1.677027 52.328943,1.677083 52.328964,1.677742 52.329105,1.677897 52.329095,1.678106 52.328994)))",,Tibby's Green,,local-authority-eng:ESK,,,,/open-space/open-space/319
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:71,"MULTIPOLYGON (((1.685012 52.331482,1.684674 52.330965,1.684238 52.331069,1.684601 52.331622,1.685037 52.331520,1.685012 52.331482),(1.684830 52.331314,1.684583 52.331374,1.684376 52.331077,1.684624 52.331018,1.684830 52.331314)))",,North Parade Klondyke,,local-authority-eng:ESK,,,,/open-space/open-space/71
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:359,"MULTIPOLYGON (((1.757600 52.488664,1.757642 52.487974,1.757747 52.487419,1.756719 52.487258,1.756582 52.487127,1.756481 52.486854,1.756353 52.486830,1.756201 52.486748,1.756180 52.486762,1.756240 52.486946,1.756202 52.487044,1.755996 52.487133,1.755722 52.487118,1.755603 52.487071,1.755359 52.487310,1.755357 52.487364,1.755655 52.488023,1.756064 52.488476,1.756088 52.488597,1.756041 52.488774,1.756146 52.488922,1.757176 52.489171,1.757427 52.489182,1.757568 52.489099,1.757600 52.488664)))",,Sparrows Nest Park,,local-authority-eng:ESK,,,,/open-space/open-space/359
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:367,"MULTIPOLYGON (((1.753023 52.488689,1.753605 52.488695,1.754134 52.488867,1.754445 52.488903,1.755851 52.488837,1.755976 52.488745,1.756017 52.488611,1.755968 52.488446,1.755587 52.488044,1.755311 52.487452,1.755191 52.487385,1.753544 52.488261,1.753355 52.488395,1.752968 52.488574,1.752948 52.488640,1.753023 52.488689)))",,Bellevue Park,,local-authority-eng:ESK,,,,/open-space/open-space/367
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:49,"MULTIPOLYGON (((1.597451 52.451457,1.597410 52.450686,1.597325 52.450667,1.597304 52.450280,1.597083 52.450245,1.596974 52.450191,1.596947 52.450663,1.596279 52.450735,1.596307 52.450869,1.596241 52.450922,1.595961 52.450940,1.595892 52.450908,1.596029 52.451495,1.597451 52.451457),(1.597286 52.450884,1.597279 52.450793,1.597175 52.450796,1.597279 52.450793,1.597286 52.450884)))",,All Saints Green,,local-authority-eng:ESK,,,,/open-space/open-space/49
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:51,"MULTIPOLYGON (((1.667599 52.386031,1.667545 52.386126,1.667611 52.386211,1.667880 52.386259,1.667940 52.386175,1.667966 52.386179,1.667972 52.386142,1.667933 52.386105,1.667716 52.386079,1.667599 52.386031)))",,Chatten Close,,local-authority-eng:ESK,,,,/open-space/open-space/51
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:52,"MULTIPOLYGON (((1.668240 52.386087,1.668254 52.385990,1.667968 52.385943,1.667669 52.386002,1.668240 52.386087)))",,Chatten Close,,local-authority-eng:ESK,,,,/open-space/open-space/52
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:57,"MULTIPOLYGON (((1.563693 52.455156,1.563230 52.455201,1.563278 52.455502,1.563731 52.455454,1.563693 52.455156)))",,Conservative Bowls Club,,local-authority-eng:ESK,,,,/open-space/open-space/57
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:59,"MULTIPOLYGON (((1.733130 52.493363,1.733092 52.493444,1.733138 52.493515,1.733348 52.493637,1.733590 52.493705,1.734005 52.493712,1.734313 52.493646,1.734380 52.493579,1.734331 52.493506,1.734384 52.493471,1.733931 52.493369,1.733709 52.493358,1.733286 52.493276,1.733265 52.493362,1.733130 52.493363)))",,Frostenden Cresent,,local-authority-eng:ESK,,,,/open-space/open-space/59
